vaka_id,cumle
C1-negasyon-kapsami-01,No metastases and lytic-destructive lesions were observed in bone structures.
C1-negasyon-kapsami-02,"Although the examination could not be characterized because it was not performed for the liver, it was thought that the described appearances might belong to metastasis."
C1-negasyon-kapsami-03,"Thoracic esophagus calibration was normal within the sections, and no significant tumoral wall thickening was detected."
C4-derece-yuksek-01,"Anasarca-style edema, bilateral pleural effusion, diffuse intra-abdominal free fluid, metastatic masses in the liver, highly suspicious nodular in favor of metastasis in both lungs"
C4-derece-yuksek-02,"A highly suspicious mass lesion in favor of malignancy extending to the upper lobe posterior segment in the superior segment of the left lung lower lobe, histopathological diagnosis will be appropriate."
C4-derece-orta-01,"Contour lobulation, which may be compatible with capsular metastasis, is observed in the anterior left lobe."
C4-derece-orta-02,"Nodular consolidative lesions with peripheral ground-glass density increases in both lungs, the appearance may be of fungal infection or metastasis."
C4-derece-dislanamaz-01,"However, metastasis cannot be excluded."
C4-derece-dislanamaz-02,"At this level, malignancy cannot be excluded."
C5-stabil-malignite-01,Stable soft tissue density thought to belong to regressed primary malignancy in the left upper lobe
C5-stabil-malignite-02,"In the upper abdominal sections in the study area; According to the previous examination, hypodense lesions were observed in the liver, the largest of which was observed in the previous examination, with a diameter of 22 mm in the left lobe, which was evaluated in favor of metastasis in the first plan, stable."
C5-stabil-malignite-03,There was no significant change in the dimensions of metastatic masses observed in T1 and L1 vertebrae.
C6-malignite-benign-01,"Nodules with a diameter of 5 mm in the right lung apex, 6 mm in diameter in the left upper lobe anterior segment and 5 mm in the lower lobe superior segment between pleuroparenchymal sequelae in the middle lobe, which may be compatible with metastasis, are observed."
C6-malignite-benign-02,"Structural distortion in the vicinity of the volume loss accompanying the right lung upper lobe anterior segment and a spiculated contour lesion, which is evaluated in favor of sequela fibrotic nodular formation, is observed in which volume loss is observed."
C6-malignite-benign-03,"Volume loss in the upper lobe apex of both lungs, areas of structural distortion and atelectatic fibrotic sequelae changes, underlying malignancy cannot be excluded."
C11-olumsuz-belirsiz-01,No suspicious nodular or mass-occupying lesion infiltrative involvement or consolidation area was detected in the lung parenchyma.
C11-olumsuz-belirsiz-02,"Since contrast material was not given, it is not possible to comment on the size and number of lesions in the liver."
C12-benign-belirsiz-01,"Lymphadenomegaly in the left axilla, the largest of which has a narrow diameter of 11 mm, hilar fat contents selected, possibly benign, and a few lymph nodes smaller than 1 cm in the right axilla"
C12-benign-belirsiz-03,"In the posterobasal segment of the lower lobe of the right lung, a 5.5 mm diameter nodule developed on the subpleural possible sequelae is observed."
C13-ekstratorasik-01,"In the current examination, the disease is progressive due to newly emerged metastases in the liver and spleen."
C13-ekstratorasik-02,"In the upper abdominal sections included in the examination area, faintly circumscribed hypodense lesions at the level of liver segment 6, the largest of which was measured at 20 mm angle, were observed and were not detected in the previous examination (metastasis?)."
C13-ekstratorasik-03,"Bladder ca in the follow-up, sporadic interlobular septal thickenings in both lungs, ground glass areas and peribronchial thickenings (primarily evaluated in favor of lymphangitis carcinomatosus), lung nodules, liver metastases ."
C16-malignite-enf-01,"A few nodular densities measuring up to 7 mm in both lungs, more prominent in the right lung upper lobe posterior and lower lobe superior segment, were initially evaluated in favor of new metastatic nodular lesions due to the patient's known primary and lung metastasis, and are included in the diagnosis of infectious process differential."
C16-malignite-enf-02,"irregularly circumscribed nodular consolidation areas may belong to infection, metastasis could not be excluded."
C16-malignite-enf-03,"Although there is widespread infection, control for neoplasia is recommended."
A8-cikarim-ifadesi-01,There are radiological findings compatible with COPD with increased parenchymal aeration.
A8-cikarim-ifadesi-02,Sequelae changes in the lingular segment of the left lung or a bud branch appearance compatible with the focal infective area are observed.
A26-kalsifikasyon-01,When examined in the lung parenchyma window; Areas measuring up to 7 mm with spiculated contours containing calcifications are observed in the right lung lower lobe superior.
A26-kalsifikasyon-02,When examined in the lung parenchyma window; nodular lesion with amorphous calcification in the periphery and spicular contour observed in the anterior segment of the right lung upper lobe was stable with a size of 11 mm.
A26-kalsifiegranulom-01,Calcific granuloma with a diameter of 3 mm is observed in the anteromedial segment of the lower lobe of the left lung.
