vaka_id,atanan_duzey,gerekce
C1-negasyon-kapsami-01,None,"'No metastases ... were observed' ifadesi metastazı doğrudan olumsuzluyor."
C1-negasyon-kapsami-02,intermediate,"'Appearances might belong to metastasis' metastaz yönünde eğilim bildiriyor; teknik kısıt kesinliği düşürüyor."
C1-negasyon-kapsami-03,None,"'No significant tumoral wall thickening was detected' tümöral duvar kalınlaşmasını doğrudan olumsuzluyor."
C4-derece-yuksek-01,known_malignancy,"'Metastatic masses in the liver' yazılı metastaz varlığını bildiriyor; akciğerdeki yüksek şüpheden daha üst düzey belirleyici bu."
C4-derece-yuksek-02,high,"'Highly suspicious ... in favor of malignancy' yüksek şüpheyi açıkça bildiriyor fakat belgelenmiş kanser sunmuyor."
C4-derece-orta-01,intermediate,"'May be compatible with capsular metastasis' metastaz yönünde belirgin fakat kesin olmayan bir eğilim kuruyor."
C4-derece-orta-02,indeterminate,"'Fungal infection or metastasis' ayırıcı tanısında iki seçenek arasında kazanan belirtilmiyor."
C4-derece-dislanamaz-01,indeterminate,"'Metastasis cannot be excluded' şüphenin giderilemediğini fakat bir yön üstünlüğü kurulmadığını söylüyor."
C4-derece-dislanamaz-02,indeterminate,"'Malignancy cannot be excluded' maligniteyi dışlayamıyor fakat yönlü bir tercih bildirmiyor."
C5-stabil-malignite-01,known_malignancy,"'Regressed primary malignancy' yazılı bir primer maligniteyi bildiriyor; regresyon ve stabilite varlığı ortadan kaldırmıyor."
C5-stabil-malignite-02,intermediate,"'Evaluated in favor of metastasis in the first plan' metastaz yönünde radyolojik eğilim bildiriyor; stabilite bu eğilimi olumsuzlamıyor."
C5-stabil-malignite-03,known_malignancy,"'Metastatic masses' varlığı yazılıdır; 'no significant change' yalnız boyut değişimini olumsuzluyor."
C6-malignite-benign-01,intermediate,"'May be compatible with metastasis' metastaz yönünde açık fakat kesin olmayan bir değerlendirmedir; sekel komşuluğu bunu silmiyor."
C6-malignite-benign-02,None,"'Evaluated in favor of sequela fibrotic nodular formation' radyoloğun kesin benign hükmüdür; spiküle konturu bu hükmün üstüne çıkarmadım."
C6-malignite-benign-03,indeterminate,"'Underlying malignancy cannot be excluded' sekel bulgularına rağmen malignite şüphesinin giderilemediğini söylüyor."
C11-olumsuz-belirsiz-01,None,"'No suspicious nodular or mass-occupying lesion ... was detected' şüpheli malign lezyonu aktif olarak olumsuzluyor."
C11-olumsuz-belirsiz-02,indeterminate,"'Not possible to comment on the size and number of lesions' var olan karaciğer lezyonlarının teknik nedenle yeterince değerlendirilemediğini bildiriyor."
C12-benign-belirsiz-01,low,"'Possibly benign' ve seçilebilen hiler yağ benign yöne işaret ediyor fakat kesin benign hüküm kurmadığı için zayıf artık şüphe bırakıyor."
C12-benign-belirsiz-03,low,"'Possible sequelae' nodül için benign bir açıklamayı öne çıkarıyor fakat olasılık dili kesin benign hüküm kurmuyor."
C13-ekstratorasik-01,known_malignancy,"'Newly emerged metastases in the liver and spleen' yazılı metastaz ve progresyon bildiriyor."
C13-ekstratorasik-02,intermediate,"Parantez içindeki 'metastasis?' yeni karaciğer lezyonları için yönlü fakat kesin olmayan metastaz şüphesi kuruyor."
C13-ekstratorasik-03,known_malignancy,"'Bladder ca in the follow-up' ile birlikte 'liver metastases' yazılı bilinen maligniteyi açıkça bildiriyor."
C16-malignite-enf-01,known_malignancy,"'Patient's known primary and lung metastasis' bilinen primer ve metastatik hastalığı açıkça belgeliyor; enfeksiyon ayırıcı tanısı bunu silmiyor."
C16-malignite-enf-02,indeterminate,"'May belong to infection' ile 'metastasis could not be excluded' arasında kazanan bulunmadığından malignite şüphesi yönsüz kalıyor."
C16-malignite-enf-03,not_mentioned,"'Control for neoplasia is recommended' yalnız bir öneridir; yaygın enfeksiyon tarifine tek başına malignite şüphe düzeyi eklemez."
A8-cikarim-ifadesi-01,not_mentioned,"Cümle yalnız COPD ile uyumlu bulguları bildiriyor ve malignite ekseninde hüküm kurmuyor."
A8-cikarim-ifadesi-02,not_mentioned,"Sekel değişikliği ile enfeksiyon arasında değerlendirme var fakat maligniteye ilişkin bir ifade yok."
A26-kalsifikasyon-01,low,"Spiküle kontur malignite için dolaylı şüpheli bir özelliktir; belirtilen kalsifikasyon paterni ve açık şüphe ifadesinin yokluğu daha yüksek düzeyi desteklemiyor."
A26-kalsifikasyon-02,low,"Spiküle kontur zayıf dolaylı malignite şüphesi yaratıyor; stabilite ve amorf kalsifikasyon bunu kesin benign hükme dönüştürmüyor."
A26-kalsifiegranulom-01,None,"'Calcific granuloma' radyoloğun kesin benign tanımlamasıdır."
