vaka_id,atanan_duzey,gerekce
C1-negasyon-kapsami-01,None,"'No metastases ... were observed' ifadesi kemik yapılarında metastazı açıkça olumsuzlamıştır (aktif negatif hüküm)."
C1-negasyon-kapsami-02,intermediate,"'...might belong to metastasis' ifadesi metastaz yönünde eğilimli bir şüphe belirtmektedir (teknik kısıtlılık nedeniyle indeterminate ile intermediate arasında değerlendirilebilir)."
C1-negasyon-kapsami-03,None,"'...no significant tumoral wall thickening was detected' ifadesi tümöral tutulumu aktif olarak olumsuzlamıştır."
C4-derece-yuksek-01,high,"'highly suspicious ... in favor of metastasis' ve 'metastatic masses' yüksek şüphe gösterir; yazılı bilinen primer öyküsü belirtilmediği için high atanmıştır (high ile known_malignancy arasında)."
C4-derece-yuksek-02,high,"'A highly suspicious mass lesion in favor of malignancy' ifadesi histopatolojik doğrulama önerisiyle birlikte yüksek dereceli şüphe bildirmektedir."
C4-derece-orta-01,intermediate,"'...which may be compatible with capsular metastasis' ifadesi kapsüler metastaz lehine yönlü ve orta düzeyli bir şüphe belirtmektedir."
C4-derece-orta-02,indeterminate,"'...appearance may be of fungal infection or metastasis' ifadesi ayırıcı tanıda kazananı olmayan eşdeğer bir belirsizlik bildirmiştir."
C4-derece-dislanamaz-01,indeterminate,"'However, metastasis cannot be excluded' ifadesi şüphenin ortadan kaldırılamadığını belirten açık bir dışlanamazlık bildirimidir."
C4-derece-dislanamaz-02,indeterminate,"'At this level, malignancy cannot be excluded' ifadesi malignitenin ekarte edilemediği belirsiz durumu yansıtmaktadır."
C5-stabil-malignite-01,known_malignancy,"'...regressed primary malignancy' ifadesi yazılı bilinen/belgelenmiş primer kanser tanımını karşılamaktadır ve stabilite bu tanıyı değiştirmez."
C5-stabil-malignite-02,known_malignancy,"'...evaluated in favor of metastasis in the first plan, stable' ifadesi önceki tetkikle takipli stabil metastazı gösterir (primer adı yazılmadığı için intermediate ile known_malignancy arasında değerlendirilebilir)."
C5-stabil-malignite-03,known_malignancy,"'...metastatic masses observed in T1 and L1 vertebrae' ifadesi omurgada belgelenmiş metastazı bildirir, 'no significant change' ise metastazı değil boyut değişimini olumsuzlamıştır."
C6-malignite-benign-01,intermediate,"'...which may be compatible with metastasis' ifadesi nodüller için yönlü şüphe belirtmektedir (sekel alanları arasında tanımlanması nedeniyle indeterminate ile intermediate arasında düşünülebilir)."
C6-malignite-benign-02,None,"'...evaluated in favor of sequela fibrotic nodular formation' ifadesi radyoloğun kesin benign hükmüdür; spiküle kontura rağmen hüküm önceliklidir (spikülasyon nedeniyle low ile None arasında düşünülebilir)."
C6-malignite-benign-03,indeterminate,"'...underlying malignancy cannot be excluded' ifadesi sekel değişiklikleri zemininde malignite şüphesinin ekarte edilemediğini açıkça bildirmektedir."
C11-olumsuz-belirsiz-01,None,"'No suspicious nodular or mass-occupying lesion ... was detected' ifadesi şüpheli lezyon varlığını aktif olarak olumsuzlamıştır."
C11-olumsuz-belirsiz-02,indeterminate,"'...it is not possible to comment on the size and number of lesions in the liver' ifadesi mevcut lezyonların teknik kısıtlılık nedeniyle karakterize edilemediğini bildirir."
C12-benign-belirsiz-01,None,"'...hilar fat contents selected, possibly benign' ifadesi yağlı hilus içeren lenf nodu için radyoloğun benign hükmünü yansıtır ('possibly' nedeniyle low ile None arasında düşünülebilir)."
C12-benign-belirsiz-03,low,"'...nodule developed on the subpleural possible sequelae' ifadesinde yeni gelişen nodül tam olarak benign ilan edilmemiştir ve dolaylı zayıf şüphe taşır (low ile indeterminate arasında düşünülebilir)."
C13-ekstratorasik-01,known_malignancy,"'...the disease is progressive due to newly emerged metastases in the liver and spleen' ifadesi bilinen onkolojik hastalığın progresyonunu ve yeni metastazlarını bildirmektedir."
C13-ekstratorasik-02,intermediate,"'...(metastasis?)' ifadesi yeni saptanan lezyon için yönlü ve orta düzeyli metastaz hipotezini yansıtmaktadır."
C13-ekstratorasik-03,known_malignancy,"'Bladder ca in the follow-up' ifadesi raporda yazılı bilinen primer malignite takibini açıkça belirtmektedir."
C16-malignite-enf-01,known_malignancy,"'...due to the patient's known primary and lung metastasis' ifadesi hastada yazılı bilinen primer ve akciğer metastazı öyküsünü açıkça belgelemektedir."
C16-malignite-enf-02,indeterminate,"'...may belong to infection, metastasis could not be excluded' ifadesi enfeksiyon ve metastaz ayırıcı tanısında metastazın dışlanamadığı belirsizliği yansıtır."
C16-malignite-enf-03,not_mentioned,"'...control for neoplasia is recommended' bir aksiyon önerisidir ve şüphe statüsü üretmez, enfeksiyon ise ölçek dışıdır; bu nedenle not_mentioned atanmıştır (not_mentioned ile low arasında düşünülebilir)."
A8-cikarim-ifadesi-01,not_mentioned,"'...compatible with COPD with increased parenchymal aeration' cümlesinde malignite ekseninde hiçbir ifade bulunmamaktadır."
A8-cikarim-ifadesi-02,not_mentioned,"'Sequelae changes ... or a bud branch appearance compatible with the focal infective area' ifadesinde malignite ekseninde hiçbir anma yoktur (sekel nedeniyle None ile not_mentioned arasında değerlendirilebilir)."
A26-kalsifikasyon-01,low,"'...with spiculated contours containing calcifications' spikülasyon nedeniyle dolaylı malignite şüphesi taşır ve kalsifikasyon A26 gereği benign sayılmaz (low ile intermediate veya indeterminate arasında düşünülebilir)."
A26-kalsifikasyon-02,low,"'...spicular contour observed ... was stable with a size of 11 mm' ifadesinde spiküler kontur şüphe taşırken lezyonun stabil olması şüpheyi zayıflatarak low düzeyine indirmiştir (low ile None arasında düşünülebilir)."
A26-kalsifiegranulom-01,None,"'Calcific granuloma with a diameter of 3 mm' ifadesi lezyon için kesin ve doğrudan benign bir tanıdır (None; malignite kelimesi anılmadığı için not_mentioned ile None arasında değerlendirilebilir)."
